Test/align_loss,Test/loss,Test/pred_loss,Test/sup_clip_loss,Train/align_loss,Train/loss,Train/pred_loss,Train/sup_clip_loss,Val/align_loss,Val/loss,Val/pred_loss,Val/sup_clip_loss,epoch,step
,,,,,,,,1.242480993270874,5.614377498626709,3.9838054180145264,0.3880912661552429,0,13
,,,,,,,,0.5172811150550842,4.6655988693237305,3.8152713775634766,0.33304616808891296,1,27
,,,,,,,,0.355383962392807,4.332861423492432,3.6307132244110107,0.34676456451416016,2,41
,,,,0.3209160566329956,4.212323188781738,3.5343594551086426,0.35704779624938965,,,,,3,49
,,,,,,,,0.29642271995544434,4.078125,3.4251272678375244,0.3565751016139984,3,55
,,,,,,,,0.26561155915260315,3.840132713317871,3.2132811546325684,0.3612403869628906,4,69
,,,,,,,,0.24451200664043427,3.628121852874756,3.020056962966919,0.3635527491569519,5,83
,,,,,,,,0.2277335822582245,3.4529011249542236,2.860173225402832,0.3649943470954895,6,97
,,,,0.21925944089889526,3.468688726425171,2.8732385635375977,0.37619075179100037,,,,,7,99
,,,,,,,,0.21329525113105774,3.317147731781006,2.7374846935272217,0.366367906332016,7,111
,,,,,,,,0.20077352225780487,3.2105045318603516,2.6420745849609375,0.367656409740448,8,125
,,,,,,,,0.18936891853809357,3.125781297683716,2.5672225952148438,0.36918964982032776,9,139
,,,,0.17904146015644073,3.096555233001709,2.542539596557617,0.3749743103981018,,,,,10,149
,,,,,,,,0.17914140224456787,3.0563740730285645,2.506498098373413,0.3707345426082611,10,153
,,,,,,,,0.1701611429452896,2.9975993633270264,2.4553568363189697,0.37208133935928345,11,167
,,,,,,,,0.16184768080711365,2.947542428970337,2.4122464656829834,0.3734481930732727,12,181
,,,,,,,,0.1544613242149353,2.904904365539551,2.375795364379883,0.374647855758667,13,195
,,,,0.14863386750221252,2.911849021911621,2.384108066558838,0.3791070580482483,,,,,14,199
,,,,,,,,0.14768776297569275,2.8670425415039062,2.343535900115967,0.3758191466331482,14,209
,,,,,,,,0.14149993658065796,2.8345065116882324,2.316128969192505,0.3768775165081024,15,223
,,,,,,,,0.13587859272956848,2.8053300380706787,2.2916715145111084,0.37777987122535706,16,237
,,,,0.123624786734581,2.8163161277770996,2.3085150718688965,0.3841761350631714,,,,,17,249
,,,,,,,,0.13072709739208221,2.7800204753875732,2.2706425189971924,0.3786507546901703,17,251
,,,,,,,,0.12596848607063293,2.756432056427002,2.25107479095459,0.37938886880874634,18,265
,,,,,,,,0.12155980616807938,2.7361724376678467,2.2345306873321533,0.38008230924606323,19,279
,,,,,,,,0.11763212829828262,2.715635061264038,2.217522621154785,0.38048025965690613,20,293
,,,,0.10403629392385483,2.6867949962615967,2.205258846282959,0.3774997591972351,,,,,21,299
,,,,,,,,0.113853819668293,2.6972405910491943,2.202479600906372,0.38090717792510986,21,307
,,,,,,,,0.11045623570680618,2.681332588195801,2.1896984577178955,0.3811779022216797,22,321
,,,,,,,,0.10731851309537888,2.6647653579711914,2.176119565963745,0.3813275098800659,23,335
,,,,0.10072071105241776,2.6581337451934814,2.167793035507202,0.3896201550960541,,,,,24,349
,,,,,,,,0.10428167879581451,2.649714469909668,2.1640124320983887,0.38142016530036926,24,349
,,,,,,,,0.10150174051523209,2.634755849838257,2.1518704891204834,0.38138365745544434,25,363
,,,,,,,,0.09895636886358261,2.6201364994049072,2.1399948596954346,0.3811853528022766,26,377
,,,,,,,,0.09660916030406952,2.606775999069214,2.1292905807495117,0.3808760941028595,27,391
,,,,0.08594729006290436,2.5715973377227783,2.1046509742736816,0.3809990882873535,,,,,28,399
,,,,,,,,0.09441874176263809,2.592388391494751,2.117521047592163,0.38044869899749756,28,405
,,,,,,,,0.0922197699546814,2.57924222946167,2.1070399284362793,0.37998253107070923,29,419
,,,,,,,,0.0902751088142395,2.5664255619049072,2.0968072414398193,0.37934333086013794,30,433
,,,,,,,,0.08837441354990005,2.5531842708587646,2.086195945739746,0.37861400842666626,31,447
,,,,0.08631283044815063,2.5875344276428223,2.1144213676452637,0.3868003487586975,,,,,32,449
,,,,,,,,0.08668903261423111,2.5394129753112793,2.075063943862915,0.37765979766845703,32,461
,,,,,,,,0.08495446294546127,2.5276947021484375,2.0660228729248047,0.3767174184322357,33,475
,,,,,,,,0.08347677439451218,2.513547658920288,2.054527759552002,0.3755430579185486,34,489
,,,,0.07488521933555603,2.488898754119873,2.0406246185302734,0.3733889162540436,,,,,35,499
,,,,,,,,0.08200973272323608,2.5003089904785156,2.0440733432769775,0.3742258846759796,35,503
,,,,,,,,0.08067397028207779,2.486614465713501,2.0332069396972656,0.3727339804172516,36,517
,,,,,,,,0.07933833450078964,2.4732961654663086,2.022759199142456,0.3711986839771271,37,531
,,,,,,,,0.07796072214841843,2.4612791538238525,2.0137100219726562,0.3696083128452301,38,545
,,,,0.06751611828804016,2.4782116413116455,2.032813310623169,0.37788212299346924,,,,,39,549
,,,,,,,,0.07680953294038773,2.44698429107666,2.002542734146118,0.36763203144073486,39,559
,,,,,,,,0.07561072707176208,2.433647871017456,1.992427945137024,0.3656090497970581,40,573
,,,,,,,,0.07456491142511368,2.4194488525390625,1.981502890586853,0.363381028175354,41,587
,,,,0.06640452146530151,2.387345314025879,1.9662284851074219,0.3547123372554779,,,,,42,599
,,,,,,,,0.07335776090621948,2.405669927597046,1.9712812900543213,0.3610309362411499,42,601
,,,,,,,,0.0723312571644783,2.394801378250122,1.9639604091644287,0.35850968956947327,43,615
,,,,,,,,0.07125097513198853,2.3769164085388184,1.949796438217163,0.3558691143989563,44,629
,,,,,,,,0.07025845348834991,2.36521053314209,1.9417240619659424,0.35322797298431396,45,643
,,,,0.061104465276002884,2.3148300647735596,1.9059770107269287,0.34774842858314514,,,,,46,649
,,,,,,,,0.06919162720441818,2.350999355316162,1.9313697814941406,0.35043802857398987,46,657
,,,,,,,,0.06815702468156815,2.337812900543213,1.9220683574676514,0.34758731722831726,47,671
,,,,,,,,0.06709299981594086,2.325490951538086,1.9135674238204956,0.3448304831981659,48,685
,,,,0.05744665861129761,2.2399399280548096,1.8461458683013916,0.33634743094444275,,,,,49,699
,,,,,,,,0.06599296629428864,2.313021183013916,1.9049381017684937,0.3420902490615845,49,699
,,,,,,,,0.0649283155798912,2.3017256259918213,1.8973489999771118,0.33944836258888245,50,713
,,,,,,,,0.06391246616840363,2.289522171020508,1.8888170719146729,0.33679258823394775,51,727
,,,,,,,,0.06291377544403076,2.2799265384674072,1.882572889328003,0.3344399333000183,52,741
,,,,0.052605390548706055,2.2650861740112305,1.8807673454284668,0.3317134976387024,,,,,53,749
,,,,,,,,0.06187748163938522,2.2692971229553223,1.8753186464309692,0.33210086822509766,53,755
,,,,,,,,0.06083909049630165,2.260361671447754,1.8693687915802002,0.33015376329421997,54,769
,,,,,,,,0.05980381369590759,2.2516708374023438,1.8636116981506348,0.32825565338134766,55,783
,,,,,,,,0.05910151079297066,2.2449371814727783,1.859169602394104,0.3266661465167999,56,797
,,,,0.05092215538024902,2.173121213912964,1.8021457195281982,0.32005321979522705,,,,,57,799
,,,,,,,,0.057756684720516205,2.2365667819976807,1.853701114654541,0.32510891556739807,57,811
,,,,,,,,0.05673905089497566,2.230416774749756,1.8496936559677124,0.32398393750190735,58,825
